'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',0.031,-1.149,-1.179,0.558,0.606,-1.164,0.166,0.258,0.573,0.129,-0.383,0.012,-0.342,-0.698,0.009
'0:00.001',0.029,-1.149,-1.177,0.559,0.604,-1.163,0.168,0.259,0.574,0.128,-0.384,0.014,-0.338,-0.699,0.009
'0:00.002',0.030,-1.145,-1.175,0.557,0.603,-1.159,0.166,0.259,0.576,0.129,-0.381,0.015,-0.337,-0.696,0.006
'0:00.003',0.028,-1.147,-1.175,0.559,0.602,-1.161,0.162,0.259,0.576,0.128,-0.382,0.016,-0.336,-0.694,0.007
'0:00.004',0.029,-1.149,-1.179,0.559,0.605,-1.163,0.162,0.258,0.577,0.128,-0.382,0.015,-0.336,-0.693,0.009
'0:00.005',0.033,-1.150,-1.183,0.558,0.609,-1.167,0.166,0.262,0.581,0.131,-0.379,0.019,-0.336,-0.698,0.003
'0:00.006',0.035,-1.151,-1.185,0.558,0.610,-1.167,0.168,0.265,0.583,0.133,-0.377,0.022,-0.335,-0.698,0.000
'0:00.007',0.035,-1.147,-1.183,0.555,0.610,-1.165,0.166,0.264,0.581,0.134,-0.380,0.021,-0.335,-0.688,0.004
'0:00.008',0.034,-1.148,-1.182,0.557,0.609,-1.165,0.164,0.264,0.583,0.134,-0.377,0.024,-0.336,-0.688,0.008
'0:00.009',0.032,-1.148,-1.179,0.558,0.606,-1.164,0.164,0.265,0.586,0.134,-0.376,0.023,-0.335,-0.687,0.008
'0:00.010',0.033,-1.146,-1.179,0.556,0.606,-1.163,0.166,0.266,0.588,0.136,-0.374,0.026,-0.332,-0.685,0.007
'0:00.011',0.035,-1.145,-1.179,0.555,0.608,-1.162,0.165,0.269,0.591,0.139,-0.370,0.031,-0.328,-0.685,0.005
'0:00.012',0.033,-1.143,-1.175,0.554,0.605,-1.159,0.165,0.271,0.591,0.140,-0.370,0.029,-0.329,-0.683,0.003
'0:00.013',0.035,-1.145,-1.181,0.555,0.608,-1.163,0.168,0.273,0.595,0.141,-0.368,0.031,-0.330,-0.691,0.002
'0:00.014',0.036,-1.144,-1.181,0.553,0.609,-1.163,0.166,0.273,0.595,0.143,-0.369,0.032,-0.329,-0.691,0.000
'0:00.015',0.036,-1.141,-1.177,0.552,0.607,-1.159,0.170,0.275,0.597,0.145,-0.365,0.033,-0.329,-0.686,-0.001
'0:00.016',0.038,-1.141,-1.179,0.551,0.609,-1.160,0.170,0.278,0.600,0.148,-0.363,0.035,-0.327,-0.687,0.000
'0:00.017',0.039,-1.137,-1.177,0.549,0.608,-1.157,0.168,0.279,0.599,0.149,-0.363,0.037,-0.324,-0.683,-0.001
'0:00.018',0.043,-1.135,-1.178,0.546,0.611,-1.157,0.169,0.281,0.603,0.151,-0.359,0.040,-0.323,-0.683,-0.002
'0:00.019',0.044,-1.131,-1.175,0.543,0.610,-1.153,0.170,0.282,0.604,0.153,-0.361,0.040,-0.324,-0.684,-0.003
'0:00.020',0.042,-1.131,-1.173,0.544,0.608,-1.151,0.172,0.284,0.606,0.155,-0.360,0.042,-0.324,-0.683,-0.004
'0:00.021',0.042,-1.135,-1.176,0.546,0.609,-1.155,0.169,0.285,0.608,0.156,-0.359,0.042,-0.323,-0.688,-0.006
'0:00.022',0.040,-1.135,-1.175,0.547,0.608,-1.155,0.169,0.284,0.606,0.155,-0.359,0.041,-0.321,-0.688,-0.011
'0:00.023',0.038,-1.136,-1.174,0.549,0.607,-1.155,0.166,0.285,0.609,0.154,-0.360,0.040,-0.319,-0.685,-0.013
'0:00.024',0.035,-1.137,-1.172,0.550,0.604,-1.154,0.165,0.282,0.609,0.154,-0.359,0.040,-0.319,-0.681,-0.009
