'Elapsed time','Cz..'
'seconds','uV'
0.000,-4.000
0.006,-26.000
0.013,-21.000
0.019,4.000
0.025,26.000
0.031,25.000
0.037,32.000
0.044,34.000
0.050,32.000
0.056,41.000
0.062,19.000
0.069,7.000
0.075,29.000
0.081,49.000
0.087,57.000
0.094,54.000
0.100,41.000
0.106,28.000
0.113,-1.000
0.119,-3.000
0.125,23.000
0.131,25.000
0.138,24.000
0.144,29.000
0.150,25.000
0.156,22.000
0.163,13.000
0.169,-4.000
0.175,-17.000
0.181,-24.000
0.188,-42.000
0.194,-39.000
0.200,-8.000
0.206,4.000
0.212,-17.000
0.219,-6.000
0.225,4.000
0.231,7.000
0.237,15.000
0.244,19.000
0.250,-1.000
0.256,4.000
0.263,19.000
0.269,5.000
0.275,-11.000
0.281,1.000
0.287,-13.000
0.294,1.000
0.300,29.000
0.306,3.000
0.312,7.000
0.319,16.000
0.325,31.000
0.331,40.000
0.338,5.000
0.344,-39.000
0.350,-56.000
0.356,-37.000
0.362,-37.000
0.369,-31.000
0.375,-37.000
0.381,-65.000
0.388,-56.000
0.394,-4.000
0.400,22.000
0.406,61.000
0.412,78.000
0.419,73.000
0.425,53.000
0.431,22.000
0.438,-3.000
0.444,-38.000
0.450,-58.000
0.456,-64.000
0.463,-72.000
0.469,-68.000
0.475,-56.000
0.481,-65.000
0.487,-35.000
0.494,-44.000
0.500,-41.000
0.506,-43.000
0.512,-39.000
0.519,-26.000
0.525,-25.000
0.531,-16.000
0.537,-1.000
0.544,5.000
0.550,10.000
0.556,-14.000
0.562,-13.000
0.569,-2.000
0.575,-15.000
0.581,-15.000
0.588,-11.000
0.594,-19.000
0.600,11.000
0.606,30.000
0.613,31.000
0.619,40.000
0.625,56.000
0.631,54.000
0.637,54.000
0.644,76.000
0.650,40.000
0.656,41.000
0.662,51.000
0.669,69.000
0.675,76.000
0.681,64.000
0.688,48.000
0.694,61.000
0.700,80.000
0.706,64.000
0.713,74.000
0.719,66.000
0.725,31.000
0.731,21.000
0.738,29.000
0.744,29.000
0.750,8.000
0.756,-21.000
0.762,-27.000
0.769,-21.000
0.775,-42.000
0.781,-62.000
0.787,-42.000
0.794,-49.000
0.800,-67.000
0.806,-68.000
0.812,-50.000
0.819,-39.000
0.825,-40.000
0.831,-31.000
0.838,-15.000
0.844,-25.000
0.850,-30.000
0.856,-40.000
0.863,-24.000
0.869,-21.000
0.875,-26.000
0.881,-34.000
0.887,-33.000
0.894,-42.000
0.900,-61.000
0.906,-36.000
